institute_type,institute_short,program_name,category,quota,pool,round_no,program_duration,degree_short,year,opening_rank,closing_rank,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT,IIT-Delhi,Energy Engineering,OBC-NCL,AI,Gender-Neutral,2,4 Years,B.Tech,2021,552.0,1928.0,1928.0,0.0,2021
IIT,IIT-Kharagpur,Chemistry,OBC-NCL,AI,Female-Only,2,4 Years,BSc,2021,7367.0,8128.0,8128.0,0.0,2021
IIT,IIT-Bombay,Chemical Engineering,GEN,AI,Gender-Neutral,1,4 Years,B.Tech,2021,1266.0,2109.0,2109.0,0.0,2021
IIT,IIT-Kanpur,Aerospace Engineering,GEN,AI,Gender-Neutral,1,4 Years,B.Tech,2021,2209.0,3578.0,3578.0,0.0,2021
IIT,IIT-Mandi,Bio Engineering,GEN,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,8661.0,12989.0,12989.0,0.0,2021
NIT,NIT-Patna,Computer Science and Engineering,OBC-NCL,HS,Gender-Neutral,1,4 Years,B.Tech,2021,2952.0,4195.0,4195.0,0.0,2021
NIT,NIT-Arunachal-Pradesh,Electronics and Communication Engineering,OBC-NCL,HS,Gender-Neutral,1,4 Years,B.Tech,2021,204374.0,204374.0,204374.0,0.0,2021
NIT,NIT-Jamshedpur,Electrical Engineering,OBC-NCL,HS,Gender-Neutral,1,4 Years,B.Tech,2021,5173.0,6386.0,6386.0,0.0,2021
NIT,NIT-Kurukshetra,Computer Engineering,OBC-NCL,HS,Female-Only,1,4 Years,B.Tech,2021,2984.0,6838.0,6838.0,0.0,2021
IIT,IIT-Bombay,Aerospace Engineering,SC,AI,Female-Only,1,4 Years,B.Tech,2021,136.0,395.0,395.0,0.0,2021
IIT,IIT-Delhi,Textile Technology,SC,AI,Female-Only,1,4 Years,B.Tech,2021,3002.0,3369.0,3369.0,0.0,2021
IIT,IIT-Indore,Metallurgical Engineering and Materials Science,SC,AI,Gender-Neutral,1,4 Years,B.Tech,2021,2049.0,2354.0,2354.0,0.0,2021
IIT,IIT-(ISM) Dhanbad,Electronics and Communication Engineering,SC,AI,Gender-Neutral,1,4 Years,B.Tech,2021,599.0,1067.0,1067.0,0.0,2021
IIT,IIT-Kharagpur,Aerospace Engineering,SC,AI,Gender-Neutral,2,5 Years,B.Tech + M.Tech (IDD),2021,1011.0,1103.0,1103.0,0.0,2021
IIT,IIT-Roorkee,Electrical Engineering,SC,AI,Gender-Neutral,2,4 Years,B.Tech,2021,317.0,562.0,562.0,0.0,2021
IIT,IIT-Roorkee,Metallurgical and Materials Engineering,SC,AI,Gender-Neutral,2,4 Years,B.Tech,2021,1544.0,1743.0,1743.0,0.0,2021
IIT,IIT-Kharagpur,Ocean Engineering and Naval Architecture,GEN,AI,Female-Only,7,4 Years,B.Tech,2019,12099.0,12443.0,12443.0,0.0,2019
IIT,IIT-Roorkee,Computer Science and Engineering,GEN,AI,Gender-Neutral,7,4 Years,B.Tech,2019,234.0,412.0,412.0,0.0,2019
IIT,IIT-Roorkee,Geological Technology,GEN,AI,Gender-Neutral,7,5 Years,Int M.Tech,2019,8179.0,10314.0,10314.0,0.0,2019
IIT,IIT-(BHU) Varanasi,Ceramic Engineering,GEN,AI,Female-Only,7,5 Years,B.Tech + M.Tech (IDD),2019,16985.0,18456.0,18456.0,0.0,2019
IIT,IIT-(BHU) Varanasi,Electronics Engineering,GEN,AI,Female-Only,7,4 Years,B.Tech,2019,4605.0,5572.0,5572.0,0.0,2019
NIT,NIT-Hamirpur,Computer Science and Engineering,GEN,OS,Gender-Neutral,7,5 Years,Btech + M.Tech (IDD),2019,10543.0,12588.0,12588.0,0.0,2019
NIT,NIT-Tiruchirappalli,Metallurgical and Materials Engineering,GEN,OS,Female-Only,7,4 Years,B.Tech,2019,24141.0,26670.0,26670.0,0.0,2019
IIT,IIT-Bombay,Environmental Science and Engineering,GEN-EWS,AI,Female-Only,1,5 Years,B.Tech + M.Tech (IDD),2021,2714.0,2714.0,2714.0,0.0,2021
IIT,IIT-Bombay,Metallurgical Engineering & Materials Science,GEN-EWS,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,802.0,875.0,875.0,0.0,2021
IIT,IIT-Kharagpur,Agricultural and Food Engineering with M.Tech. in any of the listed specializations,GEN-EWS,AI,Female-Only,1,5 Years,B.Tech + M.Tech (IDD),2021,3314.0,3314.0,3314.0,0.0,2021
IIT,IIT-Roorkee,Geophysical Technology,GEN-EWS,AI,Female-Only,1,5 Years,Int M.Tech,2021,3202.0,3202.0,3202.0,0.0,2021
IIT,IIT-Roorkee,Geological Technology,GEN-EWS,AI,Female-Only,2,5 Years,Int M.Tech,2021,3425.0,3425.0,3425.0,0.0,2021
IIT,IIT-(BHU) Varanasi,Pharmaceutical Engineering & Technology,OBC-NCL,AI,Female-Only,1,4 Years,B.Tech,2021,8538.0,8929.0,8929.0,0.0,2021
IIT,IIT-Kharagpur,Aerospace Engineering,OBC-NCL,AI,Gender-Neutral,2,4 Years,B.Tech,2021,1157.0,1988.0,1988.0,0.0,2021
IIT,IIT-Kharagpur,Electrical Engineering,OBC-NCL,AI,Female-Only,2,4 Years,B.Tech,2021,1561.0,1973.0,1973.0,0.0,2021
