institute_type,institute_short,program_name,category,quota,pool,round_no,program_duration,degree_short,year,opening_rank,closing_rank,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT,IIT-Guwahati,Chemical Science and Technology,GEN,AI,Gender-Neutral,6,4 Years,B.Tech,2020,5612.0,7433.0,7433.0,0.0,2020
NIT,NIT-Jaipur,Civil Engineering,GEN,HS,Gender-Neutral,6,4 Years,B.Tech,2020,12827.0,19845.0,19845.0,0.0,2020
NIT,NIT-Agartala,Computer Science and Engineering,GEN,HS,Female-Only,6,4 Years,B.Tech,2020,65910.0,100164.0,100164.0,0.0,2020
NIT,NIT-Agartala,Computer Science and Engineering,GEN,OS,Gender-Neutral,6,4 Years,B.Tech,2020,10408.0,18351.0,18351.0,0.0,2020
IIT,IIT-Hyderabad,Biomedical Engineering,OBC-NCL,AI,Gender-Neutral,6,4 Years,B.Tech,2020,3457.0,3917.0,3917.0,0.0,2020
NIT,NIT-Jalandhar,Computer Science and Engineering,OBC-NCL,HS,Gender-Neutral,6,4 Years,B.Tech,2020,2745.0,11292.0,11292.0,0.0,2020
IIT,IIT-Mandi,Engineering Physics,GEN-EWS,AI,Gender-Neutral,6,4 Years,B.Tech,2020,1767.0,1937.0,1937.0,0.0,2020
IIT,IIT-Delhi,Mechanical Engineering,GEN-EWS,AI,Gender-Neutral,6,4 Years,B.Tech,2020,248.0,329.0,329.0,0.0,2020
IIT,IIT-Kanpur,Physics,GEN-EWS,AI,Female-Only,6,4 Years,BSc,2020,2546.0,2546.0,2546.0,0.0,2020
IIT,IIT-(ISM) Dhanbad,Mechanical Engineering,GEN-EWS,AI,Female-Only,6,4 Years,B.Tech,2020,2661.0,2883.0,2883.0,0.0,2020
IIT,IIT-Guwahati,Mathematics and Computing,GEN-EWS,AI,Gender-Neutral,6,4 Years,B.Tech,2020,126.0,171.0,171.0,0.0,2020
NIT,NIT-Hamirpur,Chemical Engineering,GEN,HS,Female-Only,6,4 Years,B.Tech,2020,58872.0,131912.0,131912.0,0.0,2020
NIT,NIT-Hamirpur,Mechanical Engineering,GEN,OS,Female-Only,6,4 Years,B.Tech,2020,35839.0,42904.0,42904.0,0.0,2020
